43.84375	-114.71875	0.5355	1.0366	0.7318
43.84375	-114.78125	0.5709	1.1979	0.7004
43.84375	-114.84375	0.4132	0.9778	0.7378
43.84375	-114.90625	0.3469	0.7753	0.7557
43.84375	-114.96875	0.3205	0.7593	0.7464
43.84375	-115.03125	0.4229	0.8628	0.7018
43.84375	-115.09375	0.5478	0.8916	0.6798
43.84375	-115.15625	0.6667	1.0705	0.6157
43.84375	-115.21875	0.6912	1.1737	0.5900
43.84375	-115.28125	0.7038	1.1760	0.5759
43.84375	-115.34375	0.7770	1.2931	0.5223
43.84375	-115.40625	0.7472	1.3097	0.6023
43.84375	-115.46875	0.7811	1.3659	0.5727
43.84375	-115.53125	0.8188	1.4241	0.4807
43.84375	-115.59375	0.6949	1.1991	0.6034
43.84375	-115.65625	0.6760	1.1509	0.5886
43.84375	-115.71875	0.7718	1.3043	0.5470
43.84375	-115.78125	0.8530	1.5268	0.4048
43.84375	-115.84375	0.8649	1.6403	0.3726
43.84375	-115.90625	0.8576	1.5313	0.4322
43.84375	-115.96875	0.8372	1.4217	0.4263
43.90625	-114.03125	0.6864	1.6514	0.5811
43.90625	-114.09375	0.7106	1.7913	0.5399
43.90625	-114.15625	0.7082	1.8547	0.5239
43.90625	-114.21875	0.6378	1.6262	0.6194
43.90625	-114.28125	0.6712	1.3776	0.6567
43.90625	-114.34375	0.5698	1.2210	0.6826
43.90625	-114.40625	0.4828	0.9638	0.7488
43.90625	-114.46875	0.5376	0.9892	0.7321
43.90625	-114.53125	0.4649	0.8992	0.7508
43.90625	-114.59375	0.4161	0.8619	0.7467
43.90625	-114.65625	0.4965	0.9459	0.7209
43.90625	-114.71875	0.6534	1.2834	0.6751
43.90625	-114.78125	0.8025	1.3409	0.6165
43.90625	-114.84375	0.6420	1.2233	0.6469
43.90625	-114.90625	0.3670	0.8856	0.7259
43.90625	-114.96875	0.2901	0.6283	0.7746
43.90625	-115.03125	0.3544	0.6925	0.7359
43.90625	-115.09375	0.3556	0.7350	0.7427
43.90625	-115.15625	0.4407	0.7679	0.7516
43.90625	-115.21875	0.4488	0.9254	0.7032
43.90625	-115.28125	0.4555	0.9868	0.7053
43.90625	-115.34375	0.5973	1.0830	0.6588
43.90625	-115.40625	0.7544	1.3032	0.5556
43.90625	-115.46875	0.8095	1.3930	0.5288
43.90625	-115.53125	0.7440	1.2582	0.5681
43.90625	-115.59375	0.6800	1.1469	0.5893
43.90625	-115.65625	0.5149	1.0039	0.6996
43.90625	-115.71875	0.6367	1.0889	0.6104
43.90625	-115.78125	0.7449	1.2567	0.5569
43.90625	-115.84375	0.8453	1.4587	0.4720
43.90625	-115.90625	0.8677	1.6231	0.3664
43.90625	-115.96875	0.8433	1.4519	0.3973
43.96875	-114.03125	0.7381	2.0472	0.4989
43.96875	-114.09375	0.7232	1.8593	0.5224
43.96875	-114.15625	0.7097	1.6182	0.5601
43.96875	-114.21875	0.6790	1.4345	0.6082
43.96875	-114.28125	0.6819	1.3964	0.6394
43.96875	-114.34375	0.5065	1.0104	0.6839
43.96875	-114.40625	0.5191	1.0318	0.7043
43.96875	-114.46875	0.7199	1.4297	0.6353
43.96875	-114.53125	0.6165	1.3148	0.6552
43.96875	-114.59375	0.4106	0.8740	0.7273
43.96875	-114.65625	0.4052	0.8856	0.7333
43.96875	-114.71875	0.4539	0.9569	0.7382
43.96875	-114.78125	0.7872	1.3557	0.6205
43.96875	-114.84375	0.8022	1.5290	0.5713
43.96875	-114.90625	0.4147	1.0054	0.7169
43.96875	-114.96875	0.2452	0.5770	0.7972
43.96875	-115.03125	0.2757	0.6422	0.7783
43.96875	-115.09375	0.2965	0.6823	0.7799
43.96875	-115.15625	0.3765	0.7303	0.7620
43.96875	-115.21875	0.4422	0.9267	0.7021
43.96875	-115.28125	0.5545	1.0127	0.6309
43.96875	-115.34375	0.3639	0.7387	0.7488
43.96875	-115.40625	0.5065	0.9245	0.6571
43.96875	-115.46875	0.6851	1.1770	0.5903
43.96875	-115.53125	0.6797	1.1626	0.5954
43.96875	-115.59375	0.6975	1.1591	0.5797
43.96875	-115.65625	0.5292	1.0010	0.6727
43.96875	-115.71875	0.3732	0.8719	0.7510
43.96875	-115.78125	0.6000	1.0750	0.6423
43.96875	-115.84375	0.8404	1.4475	0.4690
43.96875	-115.90625	0.8478	1.4905	0.4700
43.96875	-115.96875	0.8268	1.4169	0.4570
44.03125	-114.03125	0.8385	2.2549	0.4610
44.03125	-114.09375	0.8016	1.4417	0.6028
44.03125	-114.15625	0.7914	1.3662	0.6177
44.03125	-114.21875	0.8103	1.6478	0.5434
44.03125	-114.28125	0.8027	1.7268	0.5445
44.03125	-114.34375	0.6171	1.2260	0.6358
44.03125	-114.40625	0.6487	1.2151	0.6329
44.03125	-114.46875	0.8037	1.6663	0.5267
44.03125	-114.53125	0.6473	1.3419	0.6409
44.03125	-114.59375	0.3938	0.8525	0.7440
44.03125	-114.65625	0.3733	0.8168	0.7581
44.03125	-114.71875	0.4749	1.1091	0.7105
44.03125	-114.78125	0.7603	1.4292	0.6094
